id;marca;publico;paquete;precio;calorias;proteina;carbohid;fibras;lipidos;sodio;potasio;vitamina;hierro
7;Quaker;adultos;caja;8,75;440;10;64;8;18;50;480;38,27;8,16
3;3Arroyos;adultos;caja;8,75;341;9,4;68,7;11;3,2;203,7;379;40,26;9,21
8;3Arroyos;adultos;bolsa;4,94;384,2;9,2;67,5;7,2;8,6;232,3;358,9;39,75;9,4
26;3Arroyos;adultos;bolsa;9,38;426;9,2;66,8;3,8;13,6;104;339;39,46;8,53
32;3Arroyos;adultos;bolsa;6,52;396,5;9,3;61,7;10;12,5;77;338;37,3;8,34
12;Kelloggs;chicos;caja;13,51;383;8;81;2;3;330;330;50;11,67
2;3Arroyos;adultos;bolsa;7,48;422;8,1;60,7;8,1;16,3;180,5;313,5;36,88;9,05
34;Kelloggs;adultos;caja;12,2;360;10;71;7;4;430;280;37,5;8,75
13;Nestlé;adultos;caja;8,79;387;10,3;76,2;8,9;8,5;503;242,95;50;11
24;Nestlé;chicos;caja;10,77;381;4;88,9;1,2;1,1;585;242,95;51;11,9
33;Granix;adultos;caja;7,71;350;11,4;73,5;1,8;8,5;440,46;242,95;42,29;1,1
30;Kelloggs;adultos;caja;10,55;405;8;80;1,21;6;240;240;45,05;9,45
11;Kelloggs;chicos;caja;10,51;380;5;90;0;0;490;220;50;11,67
27;3Arroyos;adultos;caja;7,91;428,7;9,8;68,6;2,24;12,8;63;210;40,22;8,25
28;Kelloggs;adultos;caja;14,66;390;8;79;3;5;490;200;50;11,67
41;Kelloggs;chicos;caja;10,17;390;6;85;2;3;400;180;50;11,67
25;Kelloggs;adultos;caja;9,64;390;9;77;4;5;500;150;37,5;8,75
38;Kelloggs;adultos;caja;12,59;360;8;82;3;1;986;144;50;25
19;Nestlé;adultos;caja;8,98;375;6,1;85,4;1,9;1;753;131,66;51;11,9
23;Kelloggs;chicos;caja;14,04;390;6;85;2;3;440;130;50;11,67
39;Nestlé;chicos;caja;13,55;404;3,2;85,9;1,38;5,3;559;125,61;30;12
17;Granix;adultos;bolsa;4,11;390;8,7;86,2;4;1,1;900;121,98;47,67;13,95
36;3Arroyos;chicos;caja;10,45;381,5;4,8;88,6;2,5;0,9;89,5;119,4;48,68;8,43
18;Kelloggs;adultos;caja;8,83;360;7;82;3;0;1100;116;50;11,67
37;Granix;chicos;bolsa;4,72;393;3;87;3,26;0;503;112,31;48,01;11,25
35;Nestlé;chicos;caja;12,45;391;3,6;87,1;1,7;3,1;421;111,1;51;11,9
4;3Arroyos;adultos;caja;8,65;385,8;5,8;85,9;1,7;2,1;251,1;108,9;47,54;9,53
5;Granix;adultos;bolsa;5,55;392;8;87,6;1,4;0,7;970;105,05;48,26;14,43
29;Nestlé;adultos;caja;11,01;380;4,8;88,33;1,3;0,8;520;96,22;50;11,7
22;Nestlé;adultos;caja;9,32;364;9,1;88,5;5,8;1,06;840;94,16;30;12
14;3Arroyos;adultos;bolsa;3,27;359;6,7;82,6;4,8;0,2;667,8;90,3;46,15;12,37
9;Granix;chicos;bolsa;5,73;390;5,7;89;3,78;1,4;503;88,11;48,85;11,25
10;Granix;chicos;bolsa;3,91;390;5,7;89;3,78;1,3;680;88,11;48,85;12,45
16;Granix;chicos;caja;5,39;391,7;6,9;89;1,6;0,9;478;88,11;48,85;11,08
40;Kelloggs;chicos;caja;8,55;370;4;88;3;0;670;85;50;11,67
42;Nestlé;chicos;caja;9,9;379;4;89,4;1,2;0,6;485;83,27;51;11,9
20;Nutridía;chicos;bolsa;6,23;370;5;90;2;0;470;76,02;49,28;8,4
31;Kelloggs;adultos;caja;10,07;370;5;87;2;0,5;710;75;50;11,67
43;3Arroyos;chicos;caja;5,32;374,1;5,3;87,3;32;0,4;476,9;54,4;48,13;11,07
15;Nutridía;adultos;bolsa;3,91;360;8;94;3;0;750;27,63;50,97;8,4
6;3Arroyos;adultos;bolsa;5,53;241;5,4;13,4;37,2;34,8;366;948;16,86;10,31
1;Kelloggs;adultos;caja;11,05;280;14;48;25;3,5;260;840;37,5;9,38
21;Nestlé;adultos;caja;11,54;220;8,3;41,3;40,7;2,4;321;665,13;22;12,2
