id;zona;kids_r;prop_r;resid;age;inc_r;persh;inc_b;prop_b;kids_b;var_0001;var_0002;var_0003;var_0004;var_0005;var_0006;var_0007;var_0008;var_0009;var_0010;var_0011;var_0012
43091;5;22,25292764;89,3945028;17,38095238;52,83934243;74167,04757;2;64342,10526;75,82089552;41,79104478;0;0;0;0;0;0;0;0;0;0;0;0
49479;3;29,03533224;78,401721;5,8;40,87474454;45960,51017;1;37022,47191;65,06024096;41,76706827;0;0;0;0;1;0;0;0;0;0;0;0
38425;4;48,44113946;80,58555742;9,285714286;53,72832214;132989,8919;2,6;129861,1111;93,62745098;38,23529412;0;0;0;0;0;0;0;0;0;0;0;0
3769;2;34,45739572;87,34412466;15,07272727;64,13734182;52920,97507;2;58786,23188;94,78138223;26,51622003;0;1;0;1;0;1;0;0;0;0;0;0
43277;2;26,33904652;83,59026118;5,959305211;41,93635032;47585,90623;1,6;52727,27273;77,41935484;43,5483871;0;0;0;0;0;0;0;0;0;0;0;0
33378;5;34,53571746;55,2368506;7,5;51,50442859;40944,33702;1,6;44873,41772;35,52631579;65,57017544;0;0;1;0;0;0;0;0;0;0;0;1
46592;2;32,43700696;90,96852092;18,4;53,94950847;97753,01084;1,6;122680,4124;84,15132924;47,34151329;0;0;1;0;0;1;0;0;0;0;0;0
49371;3;32,57386662;91,83254874;20,21195652;55,44778659;78670,24486;3,6;53797,46835;92,28395062;27,4691358;0;0;0;0;0;0;0;1;0;0;0;0
49073;3;42,51449954;78,17668502;9,424137931;55,14398702;40668,04999;2;50349,65035;56,66666667;39,81481481;0;0;0;0;0;0;0;0;0;0;0;0
29443;3;24,78723404;49,25531915;6,5;53,22485207;37957,74648;2,02340426;37957,74648;49,25531915;24,78723404;0;0;1;0;0;0;0;0;0;0;0;0
57463;2;43,46861878;89,8046784;8;53,55258242;100248,1334;3,4;69650,20576;68,36158192;30,69679849;0;0;0;1;0;1;0;0;0;0;0;0
40013;3;20,02651628;77,4548878;5,993506494;50,25583304;22327,09916;1;28191,48936;53,67647059;26,47058824;0;0;1;0;0;0;1;0;0;0;0;0
36933;5;17,24857412;40,44319586;5,095454546;48,50259648;20983,0602;1;28108,10811;28,88888889;46,19047619;0;1;0;0;0;0;0;0;0;0;0;0
25425;3;39,93441762;84,04099438;6,607142857;48,53280012;29315,2767;2;37812,5;54,92957746;38,45070423;0;1;0;0;0;0;0;0;0;0;0;0
36786;1;14,43048544;89,90727032;17,5;66,5662906;23092,73876;3,6;35166,66667;70,53231939;27,18631179;0;0;0;1;0;0;1;0;0;0;0;0
27783;4;25,72235284;87,92113494;11,5;56,6934361;77951,96458;3,6;103937,0079;92,98245614;33,68421053;0;0;0;1;0;1;1;0;0;0;0;0
13452;5;58,53830688;80,8581321;5,966666667;45,64576501;53840,40277;2,3;45000;67,96875;41,796875;0;0;0;0;0;0;0;0;0;0;0;0
38468;2;66,09037342;83,33817508;5,5;44,63498816;32242,70358;3,5;40943,39623;72,8;34,4;0;1;0;0;0;0;1;0;0;0;0;1
1446;4;48,68381504;94,88309286;13;56,52355588;127366,7582;3,6;113636,3636;98,13664596;41,61490683;0;0;0;0;0;0;0;0;0;0;0;0
54850;3;17,0740519;4,51043158;4,7;28,40313363;41320,28463;1,3;34583,33333;7,92682927;23,17073171;0;0;0;0;0;0;0;0;0;0;0;0
57027;5;25,19388706;88,58376422;12,5;59,36479702;163476,1467;3;78676,47059;80,34398034;30,22113022;0;0;0;1;1;0;0;0;0;0;0;0
47122;4;46,29472184;91,54409414;12,5;55,77059659;108613,3136;3,1;65737,41007;78,62068966;34,89655172;0;0;0;0;0;0;0;0;0;0;0;1
37088;1;51,17519748;93,87434638;13,5;52,19635441;48970,78884;3;67714,72393;89,22852984;32,89665211;0;1;0;0;0;0;0;0;0;0;0;0
10070;3;36,02559978;82,88588096;8,461538462;44,06893257;30724,28151;1,6;39595,07042;79,53488372;37,51937984;0;0;0;0;0;0;0;0;0;0;0;0
16110;2;29,77855826;92,75921998;20,5;61,36611041;39539,04227;3;49126,21359;80,63909774;21,42857143;0;0;1;1;0;0;0;0;0;0;1;0
31877;1;100;87,82113908;12,5;71,09189065;49444,07497;3,4;36436,17021;76,20396601;33,71104816;0;1;0;0;0;1;1;0;0;0;0;0
37376;5;33,91047642;89,27559472;15,58888889;67,07386747;52485,17;2;61682,24299;97,40484429;31,83391003;0;1;0;0;0;1;0;0;0;0;1;0
17307;3;14,920332;23,26687874;5,45;32,21483997;12148,62925;1,6;28516,48352;40,03215434;23,79421222;0;0;0;0;0;0;0;0;0;0;0;1
13093;2;33,3406855;4,89591304;4,16;55,61684795;13983,06076;2;21575,34247;36,06060606;26,36363636;0;0;0;0;0;0;0;0;0;0;0;1
49428;2;13,4401484;98,49164356;10,25;67,46465968;117216,1304;2;84230,76923;92,6910299;9,13621262;0;0;0;0;1;0;0;0;0;0;0;1
52229;3;25,25491442;43,88032468;6,1;38,01552801;12412,21232;1;38294,39252;40,74844075;38,66943867;0;0;0;0;0;0;0;0;0;0;0;1
48513;1;38,23098192;75,12814252;7,5;54,83833579;69690,72211;3;48985,14852;78,2622739;31,23385013;0;0;0;0;0;0;1;0;0;1;0;0
7175;1;16,4023064;90,1887574;18,7;61,68869428;30186,80994;2,8;36272,32143;84,49304175;30,01988072;0;0;1;0;1;0;0;0;0;0;0;0
31453;2;12,51788568;87,56342752;5,7;41,83548521;18785,59599;1,8;27500;59,19854281;22,04007286;0;0;0;0;0;0;0;0;0;0;0;0
9006;2;42,70685186;82,21057752;6,738095238;47,63041848;34771,34732;2,9;48206,52174;84,38228438;42,54079254;0;0;0;0;1;0;1;0;0;0;1;0
32395;3;27,0858331;74,18587092;6,7;62,33624367;32375,10949;1,8;49659,09091;61,44200627;25,70532915;0;0;0;0;0;0;1;0;0;0;0;1
21129;4;30,00534436;73,6103019;8,137651822;46,26130057;29914,77366;1,4;44969,5122;54,02985075;18,50746269;0;0;0;0;0;1;0;0;0;0;0;0
19713;3;19,52919538;22,6088405;2,728571429;31,46464126;40823,32011;1;30507,8125;27,04626335;21,58956109;0;0;0;0;0;0;1;0;0;0;0;0
5529;4;56,49512162;87,66456096;18,60666667;62,93107631;90817,49101;2,6;52570,09346;51,60142349;29,3594306;0;0;0;0;0;0;0;0;0;0;0;0
52896;1;60,34020688;85,99956938;20,25333333;53,82891608;65252,59764;3,8;60351,5625;94,46366782;41,69550173;0;0;0;0;0;0;0;0;1;0;0;0
24566;5;42,68002432;75,48520974;8;36,4909011;44332,99502;2,6;47864,23841;67,69509982;43,01270417;0;1;0;0;1;0;0;0;0;0;0;0
52417;3;19,5298228;96,94264382;13;62,76470405;58832,34034;2,7;67385,05747;94,04517454;33,88090349;0;1;0;0;0;1;0;0;0;0;0;0
22559;5;24,24196488;3,88719088;4,1;40,61625541;16898,748;1;16422,41379;15,97139452;41,0011919;0;0;1;0;0;0;0;0;0;0;0;0
51578;2;30,25081904;81,57421058;5,7;45,27105095;82973,07376;2,3;94478,31978;91,59104658;58,13672111;0;0;1;0;0;1;0;0;0;0;0;0
21479;1;49,42161516;80,7689296;11,85;53,12232666;64763,21775;3;59511,78451;83,14220183;34,21253823;0;1;0;0;0;1;0;0;0;0;1;0
28204;3;26,41001848;4,6728613;2,621428571;40,91500987;15849,54395;1,6;27727,27273;27,95698925;27,20430108;0;0;0;1;0;0;0;0;0;0;0;0
30526;3;15,55561144;62,30397384;15,5;61,44557676;31467,21701;1;34750;35,49488055;17,74744027;0;0;0;0;0;0;1;0;0;0;0;0
15749;4;31,33241292;86,60704896;12,41414141;59,13489525;37863,31074;1,7;43602,94118;87,11538462;27,5;0;0;1;0;0;0;0;0;0;0;0;0
33844;2;54,7475351;89,93670576;7,942857143;41,4914458;43870,57832;3,6;53531,07345;88,22115385;39,66346154;0;1;0;0;0;1;0;0;0;0;0;1
44270;1;48,69111098;85,5568416;15,28888889;49,98419333;50890,208;2,4;34868,42105;65,74746009;30,47895501;0;0;0;1;1;0;1;0;1;0;0;1
57810;4;27,647855;32,60998412;3,242857143;41,39124116;52960,71086;1;72263,31361;53,31664581;38,79849812;0;1;0;0;0;0;0;0;0;0;0;0
22526;1;18,55259418;88,57534384;7,285714286;55,84894872;103434,5985;2,5;78296,7033;87,10217755;40,61976549;0;0;0;0;0;0;0;0;0;0;0;1
53443;4;34,0472204;88,11795344;7,251685393;45,54307938;70343,74175;2;89915,45894;97,32569245;49,18815664;0;0;1;0;0;0;0;0;0;0;0;1
42578;2;46,14721114;78,49146936;6,4;43,96782928;56023,03998;2;55199,04459;66,02440591;38,02183687;0;0;0;0;1;0;1;0;0;0;0;0
32552;1;92,4664384;90,51230648;3,5;49,48783769;94489,95655;6,2;38033,70787;71,25984252;26,96850394;0;1;0;1;0;0;0;0;0;0;0;0
57768;3;22,6536056;4,68174088;1,95;47,97886546;14501,32274;1;31423,61111;9,59276018;42,8959276;0;0;0;0;0;0;0;0;0;0;0;0
57539;5;37,47413888;71,37557928;2,93;44,08292457;30703,31321;1;49471,83099;65,23702032;37,4717833;0;0;0;0;0;0;0;0;0;0;0;0
39493;3;33,95590906;84,20293754;10;55,34297167;72041,78463;3,3;78422,61905;87,90087464;38,19241983;0;0;0;0;0;0;1;0;0;0;0;0
13885;4;16,12341194;84,1293139;12,5;58,79350687;127958,8912;1,8;37934,78261;49,71751412;35,2165725;1;0;0;0;0;0;0;0;0;0;1;0
